(-6.69253,18.3124,25) (0.161931,0.843639,-0.51191)
(14.5942,-21.7738,25) (0.443737,-0.13032,-0.886631)
(20.1292,0.016632,25) (-0.135025,0.810334,-0.570199)
(11.7429,-6.24917,25) (0.747751,0.421927,-0.512685)
(15.1985,-3.17246,25) (0.622559,-0.66046,-0.419776)
(-22.8253,0.602239,25) (0.101123,0.00596343,-0.994856)
(-17.4582,-22.933,25) (-0.817931,0.566961,-0.0976972)
(20.7038,-1.68359,25) (-0.974696,0.121234,-0.187803)
(-22.661,-12.8207,25) (-0.653506,-0.684638,-0.322801)
(11.0766,-16.0735,25) (-0.331574,-0.81981,-0.466874)
(-3.96243,10.5978,25) (0.440784,-0.757052,-0.482268)
(-5.90082,15.6184,25) (0.763295,0.575379,-0.293803)
(-16.9175,19.9199,25) (-0.981133,-0.182434,-0.0640075)
(-14.7828,-4.55191,25) (-0.735526,-0.605281,-0.304363)
(-1.99445,-3.9196,25) (0.215013,-0.131439,-0.967726)
(-17.164,24.4771,25) (-0.952131,0.102152,-0.288117)
(-9.87421,20.0513,25) (-0.0609119,-0.509322,-0.858418)
(-0.240045,-12.0189,25) (0.635646,-0.40481,-0.65733)
(-19.7397,-0.125849,25) (-0.328849,-0.497805,-0.802526)
(22.1947,-22.0571,25) (-0.0724826,-0.673406,-0.735711)
(-15.4039,-17.6726,25) (-0.851926,-0.204215,-0.482202)
(-0.779862,-19.3082,25) (0.523807,-0.175707,-0.833518)
(-22.0748,12.587,25) (-0.546829,-0.379741,-0.746173)
(2.68534,-2.54183,25) (-0.434558,-0.31102,-0.845237)
(17.1673,-22.1816,25) (-0.532401,-0.620789,-0.575474)
(15.7426,20.093,25) (0.0304218,0.991636,-0.125431)
(-4.04679,-12.0632,25) (0.261737,-0.179005,-0.948394)
(9.44987,-23.0323,25) (-0.986521,-0.143182,-0.079211)
(18.5585,-12.6967,25) (0.76486,0.464285,-0.446574)
(-11.9705,14.158,25) (-0.901312,0.423732,-0.0899305)
(18.1731,-20.9391,25) (0.934198,0.35675,-0.00185811)
(24.1567,-1.60892,25) (-0.170045,-0.287712,-0.9425)
(-10.5236,24.0924,25) (-0.869655,0.338551,-0.359281)
(-11.3017,-15.2045,25) (0.764308,0.147489,-0.627758)
(-15.9887,-15.958,25) (-0.020914,0.26905,-0.962899)
(-7.17089,10.1758,25) (-0.145086,0.986145,-0.0804225)
(17.39,16.4791,25) (0.548751,0.179061,-0.816584)
(20.3611,18.5963,25) (0.0493526,0.0731333,-0.9961)
(-14.611,-8.0961,25) (0.104226,-0.0392489,-0.993779)
(12.6313,4.42372,25) (-0.670008,-0.658319,-0.343083)
(-16.4436,-22.3135,25) (-0.350703,-0.934051,-0.0674955)
(-21.4687,-15.2986,25) (-0.0313227,-0.378507,-0.925068)
(2.97615,-3.28378,25) (0.264983,0.730825,-0.62903)
(22.8712,-3.12409,25) (0.339396,-0.825504,-0.450948)
(18.2707,1.21797,25) (0.281593,-0.956771,-0.0727616)
(-17.3286,20.7197,25) (-0.298881,-0.738788,-0.604039)
(18.1096,23.3918,25) (-0.501379,0.365471,-0.784251)
(-20.245,-1.58354,25) (0.428427,-0.575393,-0.696687)
(-4.78179,16.3503,25) (0.406581,-0.269679,-0.872906)
(-22.7171,-19.9944,25) (0.70461,0.289121,-0.648023)
(-24.9096,5.33905,25) (0.741663,0.285368,-0.607042)
(6.65729,-14.2946,25) (-0.215045,-0.967157,-0.135508)
(-24.2682,17.3143,25) (0.532119,0.120335,-0.838075)
(21.1818,-2.33739,25) (0.115899,0.499395,-0.858588)
(15.621,7.35345,25) (-0.509894,-0.824004,-0.247034)
(-17.9177,15.4733,25) (-0.944339,0.0152718,-0.328618)
(23.3654,20.3714,25) (0.175076,-0.505011,-0.84517)
(-22.6536,-12.437,25) (0.857124,-0.511319,-0.062386)
(18.4963,-2.61644,25) (-0.98827,-0.0760908,-0.132411)
(-2.87714,4.4914,25) (-0.888913,-0.360888,-0.282125)
(11.8432,-10.8838,25) (-0.952437,0.300872,-0.0483622)
(16.9683,-20.8454,25) (-0.0849065,-0.11865,-0.989299)
(-21.7534,13.0792,25) (0.195168,-0.755999,-0.6248)
(-22.2298,-9.81654,25) (0.681449,0.000571381,-0.731865)
(-19.2909,4.07902,25) (0.986496,0.159417,-0.0375747)
(8.82055,13.3779,25) (-0.175763,0.753642,-0.633349)
(12.5785,21.8147,25) (0.903437,-0.0978761,-0.417399)
(-0.0764488,-13.5632,25) (0.0884087,-0.967479,-0.236998)
(11.0286,-11.4804,25) (-0.957722,0.239034,-0.160097)
(5.82209,-5.95454,25) (0.109239,0.907241,-0.406177)
(12.5182,-9.54729,25) (0.0618003,-0.993807,-0.0923447)
(-9.37117,18.509,25) (-0.618158,-0.638774,-0.458092)
(-17.2073,-3.50458,25) (0.426402,-0.902278,-0.0638467)
(-14.0507,-8.1363,25) (0.940854,-0.292931,-0.170248)
(22.0907,2.64891,25) (0.995334,-0.0864169,-0.0429307)
(23.3594,3.50109,25) (0.303202,-0.0267645,-0.952551)
(-19.7644,-1.68285,25) (0.358961,-0.765135,-0.534523)
(18.9849,18.5005,25) (0.0429875,0.994965,-0.0905374)
(-11.2782,7.90189,25) (-0.986156,0.0989518,-0.13306)
(-3.27202,-23.0988,25) (-0.33688,-0.915905,-0.218245)
(-20.4489,-10.1354,25) (0.517552,-0.850142,-0.0969466)
(-22.8889,24.9921,25) (0.897741,-0.346553,-0.271958)
(-18.3311,3.84849,25) (0.054515,0.828579,-0.557212)
(0.924256,-17.0938,25) (-0.834854,-0.0613261,-0.547044)
(-11.6648,-20.5728,25) (-0.136364,0.594327,-0.792578)
(17.4923,10.7856,25) (0.937163,0.0499215,-0.345303)
(-11.4292,8.99789,25) (-0.635755,-0.599114,-0.486702)
(24.9548,-12.5575,25) (0.075594,-0.905486,-0.417589)
(18.0403,10.2041,25) (-0.0364985,0.943472,-0.329436)
(-11.3982,18.2016,25) (0.636278,0.639041,-0.432177)
(-21.9716,-14.2459,25) (-0.546788,0.504137,-0.668482)
(-7.18698,20.6071,25) (-0.115242,-0.962848,-0.244218)
(12.8581,-3.21557,25) (-0.175904,-0.581153,-0.794556)
(19.067,-18.1228,25) (-0.717856,0.360711,-0.595458)
(-9.66259,-15.9627,25) (0.86634,0.29543,-0.40271)
(-18.6139,12.5054,25) (0.0787299,0.967482,-0.240374)
(-17.8205,0.185856,25) (-0.448209,-0.373819,-0.812014)
(4.48997,13.9499,25) (0.0791239,0.886022,-0.456842)
(-11.87,-8.55269,25) (-0.586637,-0.411335,-0.69761)
(7.92867,8.95665,25) (0.550388,-0.155998,-0.820206)
(-10.3454,-9.9112,25) (-0.0628859,-0.121982,-0.990538)
(10.3135,1.2907,25) (0.829858,0.55247,-0.0781783)
(-12.9964,13.5983,25) (0.717567,0.327018,-0.614945)
(-10.5236,3.37358,25) (-0.957408,0.0115358,-0.28851)
(-6.99608,21.0079,25) (0.0847005,0.590607,-0.802502)
(-13.2493,8.16982,25) (0.86612,0.180224,-0.466213)
(-2.94157,9.19444,25) (0.529808,0.759559,-0.377326)
(-21.7098,-2.92001,25) (0.560037,-0.797075,-0.225898)
(-6.85818,1.24051,25) (-0.447831,0.731582,-0.514038)
(15.9491,-5.03408,25) (0.359861,0.806721,-0.468723)
(12.612,9.74093,25) (-0.56282,0.266491,-0.782443)
(5.53048,4.81082,25) (0.406326,0.20976,-0.889325)
(12.377,-5.28622,25) (0.0603872,-0.841352,-0.537104)
(-9.73446,-5.29702,25) (0.833669,-0.12999,-0.536749)
(-11.6337,-20.8717,25) (-0.828446,-0.176673,-0.531473)
(-9.58329,4.53269,25) (-0.968657,-0.229723,-0.0945019)
(12.6837,-22.3782,25) (0.578919,0.812556,-0.0678699)
(-15.9786,19.0377,25) (-0.260594,0.729807,-0.632038)
(-22.4509,16.155,25) (0.478435,-0.831779,-0.281502)
(0.273393,-5.88739,25) (-0.0351688,-0.628472,-0.777036)
(9.74473,7.14378,25) (-0.755881,0.650396,-0.0750247)
(-21.3712,-20.9947,25) (-0.0373542,0.341699,-0.939067)
(23.6353,-13.7703,25) (-0.203425,0.113912,-0.972441)
(-12.6475,21.352,25) (0.778136,0.0129907,-0.627962)
(20.2627,0.495836,25) (0.227759,-0.916806,-0.328014)
(1.26081,17.3898,25) (-0.643261,0.136396,-0.7534)
(-1.56223,-16.9355,25) (-0.0384301,0.994939,-0.0928384)
(0.307687,17.0274,25) (0.755414,-0.651816,-0.0669703)
(0.0828576,-13.2968,25) (-0.970477,-0.0191768,-0.240431)
(-7.24321,4.94567,25) (0.990987,0.114401,-0.0696977)
(-13.4596,-4.07233,25) (-0.856044,-0.43857,-0.273578)
(-18.3352,-0.675329,25) (0.84099,-0.30836,-0.444578)
(-1.12441,-4.52296,25) (-0.821365,-0.145941,-0.551417)
(-21.2024,-24.7176,25) (0.380778,0.401698,-0.832854)
(5.87117,9.42503,25) (-0.587706,-0.808398,-0.0330725)
(3.63432,-11.2199,25) (0.549129,0.754658,-0.359095)
(21.2435,1.21235,25) (0.529439,-0.820463,-0.215721)
(-9.86534,2.95634,25) (0.236104,-0.483858,-0.842696)
(3.07182,-10.4251,25) (0.656368,-0.129194,-0.743297)
(-9.62591,-6.14307,25) (0.324242,0.81598,-0.478586)
(-9.37172,10.501,25) (-0.130876,0.973362,-0.188249)
(1.70077,17.3465,25) (-0.469972,-0.446375,-0.761496)
(20.8601,-12.2814,25) (0.57782,-0.456754,-0.676388)
(-6.53317,-16.0471,25) (-0.514796,0.655048,-0.55308)
(-12.7849,22.9761,25) (0.66689,0.0747527,-0.741397)
(-24.5842,13.0699,25) (0.818793,0.161733,-0.550837)
(-22.6122,-16.8079,25) (0.0747453,0.996058,-0.0477664)
(23.6204,-23.9382,25) (0.033763,-0.739043,-0.672811)
(-23.365,-20.4441,25) (0.929068,-0.348819,-0.123115)
(-2.71739,-24.7086,25) (0.332683,0.238732,-0.912321)
(20.0785,-13.7201,25) (0.555983,0.814304,-0.166707)
(-5.32128,3.05402,25) (-0.12058,-0.833691,-0.538905)
(12.5047,-14.9882,25) (0.767472,0.584365,-0.263636)
(-10.9183,7.60388,25) (0.628391,-0.734566,-0.256005)
(14.6226,-4.72629,25) (0.0905129,0.519802,-0.849478)
(24.9493,-3.43291,25) (-0.735785,0.603217,-0.307813)
(-22.5352,-19.2106,25) (-0.50805,-0.0565637,-0.859468)
(18.6235,9.9505,25) (-0.64816,-0.761489,-0.00481483)
(16.274,24.6898,25) (0.95433,-0.216506,-0.205863)
(21.5706,3.38204,25) (-0.635926,-0.765128,-0.100885)
(18.0536,-4.50119,25) (0.690221,-0.67382,-0.263745)
(8.53622,-11.1984,25) (0.77029,-0.224477,-0.596878)
(-13.0693,-3.65094,25) (-0.0735162,-0.589246,-0.804602)
(18.9294,-2.4921,25) (-0.736654,-0.451175,-0.503768)
(-6.61567,-1.28205,25) (-0.384312,0.115104,-0.916)
(-18.5926,-5.23191,25) (-0.88939,-0.31302,-0.333173)
(21.2814,-0.833652,25) (-0.853837,-0.518941,-0.0407628)
(5.07976,-12.9107,25) (-0.641532,0.0157394,-0.766935)
(10.1286,7.58716,25) (0.690117,0.122195,-0.713307)
(12.629,19.8517,25) (-0.0356485,-0.344982,-0.937932)
(19.5778,24.7668,25) (0.542069,-0.33855,-0.76912)
(14.5128,5.68327,25) (-0.549939,0.824438,-0.133675)
(14.8164,-0.614282,25) (0.298529,-0.89413,-0.333786)
(-19.4576,6.73245,25) (-0.126189,-0.628349,-0.767629)
(17.5982,12.134,25) (-0.024678,-0.876982,-0.47989)
(-3.84854,-24.9742,25) (0.984173,-0.0296484,-0.174715)
(-13.9643,-23.8971,25) (0.642102,0.307178,-0.702386)
(12.8011,-3.97247,25) (0.386413,-0.174686,-0.905632)
(-7.4565,-16.14,25) (-0.919403,0.00138013,-0.393313)
(7.96416,21.2224,25) (0.160101,-0.978881,-0.127119)
(21.8396,4.21344,25) (0.154078,-0.030287,-0.987594)
(22.1975,-1.62715,25) (0.324571,0.737376,-0.592394)
(5.13021,-5.68439,25) (-0.417777,-0.410096,-0.81073)
(13.0934,19.5553,25) (-0.510442,-0.856467,-0.0768928)
(8.57928,-23.2919,25) (-0.146296,-0.564554,-0.812328)
(-12.101,9.59917,25) (-0.382542,0.853765,-0.353194)
(-5.27266,-17.8413,25) (-0.811467,-0.33196,-0.480962)
(-2.81898,13.8543,25) (0.10475,0.404939,-0.908324)
(-23.7454,-12.3397,25) (0.58479,0.63602,-0.503488)
(-17.5651,-2.26804,25) (0.408916,-0.852027,-0.326859)
(24.6193,-7.28224,25) (0.383198,-0.918571,-0.0968845)
(-21.7888,-3.15579,25) (0.493701,-0.0124958,-0.869542)
(7.55086,4.8932,25) (-0.920953,0.14608,-0.361256)
(4.88595,-6.60486,25) (-0.569118,-0.596283,-0.566172)
(22.8873,23.7148,25) (-0.669887,0.0172248,-0.742263)
